url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Loại case,Hỗ trợ quạt,Số khe cắm PCI,Kích thước,Hãng sản xuất,Loại tản nhiệt,Số vòng quay của quạt,Độ ồn (dBA),Kết nối,Chipset,Socket,Khe RAM tối đa ,Kiểu RAM hỗ trợ,Dung lượng RAM tối đa ,Số cổng USB,LAN,Âm thanh,Loại ổ cứng,Kết nối ,Dung lượng,Tốc độ đọc,Hỗ trợ hệ điều hành,Công suất nguồn,Quạt làm mát,Tiêu chuẩn nguồn,Dung lượng ổ cứng,Chất liệu,Tính năng khác,Loại RAM,Bus RAM,Hỗ trợ,Độ trễ,Điện áp,Đèn LED,Nhiệt độ hoạt động,Dòng sản phẩm ,Thế hệ CPU,Số nhân,Số luồng,Tốc độ xử lý ,Cache,Phiên bản PCI Express,Chip đồ họa,Điện năng tiêu thụ,Công nghệ hỗ trợ,Tốc độ ghi,Chất liệu ,Chip AI,Tiến trình sản xuất,Cổng giao tiếp,Kiểu bộ nhớ,Giao diện bộ nhớ,Loại GPU,GPU clock,Giao tiếp PCI,Số lượng đơn vị xử lí ,Tản nhiệt,Đầu cấp nguồn,Nguồn đề xuất,Tốc độ vòng quay,Bộ nhớ đệm,Tuổi thọ quạt,Tiện ích,Dòng điện vào,Công nghệ/Đạt chứng nhận,Công suất
https://cellphones.com.vn/case-may-tinh-msi-mag-forge-320r-airflow.html,Case máy tính MSI MAG FORGE 320R AIRFLOW,MSI,Liên hệ,CMT.MSI.02,"Mua Case máy tính MSI MAG FORGE 320R AIRFLOW chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Mid Tower,Mặt trước: 3 x 120 mm / 2 x 140 mmMặt trên: 3 x 120 mm / 2 x 140 mmMặt sau: 1 x 120 mmMặt bên: 2 x 120 mmVỏ bọc PSU: 2 x 120 mm,7,472.5 x 210 x 498 mm,MSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/tan-nhiet-khi-cpu-jonsbo-cr-1200e-rgb.html,Tản nhiệt khí CPU Jonsbo CR-1200E RGB,Jonsbo,Liên hệ,tan-nhiet-khi-cpu-jonsbo-cr-1200e-rgb,"Mua Tản nhiệt khí CPU Jonsbo CR-1200E RGB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Jonsbo,Tản nhiệt khí,2000 RPM ±10%,≤ 26.5 dB(A),1 x 3-pin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/mainboard-msi-b450m-a-pro-max-ii.html,Mainboard MSI B450M-A PRO MAX II,MSI,Liên hệ,MB.MSI.12,"Mua Mainboard MSI B450M-A PRO MAX II chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,M-ATX,MSI,,,,,AMD,AM4,2,DDR4,64GB,2x USB 2.0 (Phía sau) 4x USB 2.0 (Phía trước) 4x USB 5Gbps Type A (Phía sau) 2x USB 5Gbps Type A (Phía trước),Bộ điều khiển LAN Realtek 8125 2.5Gbps,Realtek ALC897 Codec Âm thanh độ nét cao 7.1 kênh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/o-cung-ssd-transcend-110s-nvme-pcie-gen3-x4-512gb.html,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 512GB,Transcend,Liên hệ,OC.TC.42,"Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 512GB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Transcend,,,,,,,,,,,,,SSD,M2 PCIe,512GB,1700 MB/s,Microsoft Windows 7 trở lênLinux Kernel 2.6.31 trở lên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/nguon-may-tinh-msi-mag-a850gl-pcie5-850w.html,Nguồn máy tính MSI Mag A850GL PCIe5 850W (80 Plus Gold),MSI,Liên hệ,nguon-may-tinh-msi-mag-a850gl-pcie5-850w,"Mua nguồn máy tính MSI Mag A850GL PCIe5 850W (80 Plus Gold) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,MSI,,,,,,,,,,,,,,,,,,850W,1 x Fan 12 cm,80 Plus Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/tan-nhiet-quat-led-xigmatek-infinity-reverse-120mm.html,Quạt led Xigmatek Infinity Reverse 120mm Fan (Fixed RGB),XIGMATEK,Liên hệ,tan-nhiet-quat-led-xigmatek-infinity-reverse-120mm,"Mua Quạt led Xigmatek Infinity Reverse 120mm Fan (Fixed RGB) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,XIGMATEK,Tản nhiệt khí,1200 RPM ±10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/tan-nhiet-nuoc-xigmatek-lk-240-digital-den.html,Tản nhiệt nước Xigmatek LK 240 Digital,XIGMATEK,Liên hệ,tan-nhiet-nuoc-xigmatek-lk-240-digital-den,"Mua Tản nhiệt nước Xigmatek LK 240 Digital chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,XIGMATEK,Tản nhiệt nước,Quạt: 600~2000 vòng/phút ±10%Máy bơm: 600~3000 vòng/phút ±10%Áp suất không khí: 2.78mm-H2O,Quạt: ≤29.8dBA Máy bơm: ≤15dBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/case-may-tinh-xigmatek-nyx-iii-3gf-m-atx.html,Case máy tính XIGMATEK NYX III 3GF M-ATX,XIGMATEK,Liên hệ,CMT.XM.83,"Mua Case máy tính XIGMATEK NYX III 3GF M-ATX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Mid Tower,Fan hệ thống - Trước: 120mm x 3 (lắp sẵn) Sau: 120mm fan x 1 (tùy chọn) Nóc: 120mm fan x 2 (tùy chọn),4,386 x 200 x 411 mm,XIGMATEK,,,,USB3.0 x 1  USB2.0 x1  Audio in/out x 1 (HD Audio),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/o-cung-di-dong-ssd-sandisk-creator-phone-with-magsafe-2tb.html,Ổ cứng di động SSD SanDisk Creator Phone With Magsafe 2TB,Sandisk,Liên hệ,OC.SD.11,"Mua Ổ cứng di động SSD SanDisk Creator Phone With Magsafe 2TB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Sandisk,,,,USB-C (USB 3.2 Gen 2),,,,,,,,,SSD,,,,Windows 10+ macOS 14 trở lên iOS/iPadOS 17+ Android 14+ Lưu ý: Định dạng bằng exFAT để tương thích,,,,2TB,Vỏ silicon,Hỗ trợ quay video ở định dạng Apple ProRes 4k/60fps Khả năng chống nước và bụi IP65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/ram-pc-vsp-ddr4-3200mhz-16gb.html,RAM PC VSP DDR4 3200MHZ 16GB (1*16GB),VSP,Liên hệ,R.VSP.02,"Mua RAM PC VSP DDR4 3200MHZ 16GB (1*16GB) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,VSP,,,,,,,,,,,,,,,16GB,,,,,,,,,DDR4,3200MHz,"DIMM (PC, Desktop)",CL18 (18 - 22 - 22 - 42),1.35V,Không hỗ trợ LED,0°C ~ +85°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
