url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Loại card đồ họa,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Pin,Hệ điều hành,Độ phân giải màn hình,Loại CPU,Cổng giao tiếp,Chip AI,Socket,Treo tường,Tính năng khác
https://cellphones.com.vn/laptop-lenovo-ideapad-flex-5-14abr8-82xx00dlvn.html,Laptop Lenovo IdeaPad Flex 5 14ABR8 82XX00DLVN,Lenovo,Liên hệ,laptop-lenovo-ideapad-flex-5-14abr8-82xx00dlvn,"Mua ngay Laptop Lenovo IdeaPad Flex 5 14ABR8 82XX00DLVN giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",AMD Radeon Graphics,16GB,LPDDR5x-8448,Không nâng cấp,"Ổ cứng SSD 512GB M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD, Một khe cắm M.2 2242 PCIe 3.0 x4)",14 inches,Độ sáng 300nits Độ phủ màu 45% NTSC  TÜV Low Blue Light,52.5Wh,"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"AMD Ryzen 7 7730U (8 lõi / 16 luồng, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)","2x USB-A (USB 5Gbps) 1x USB-C (USB 10Gbps), với USB PD 3.0 và DisplayPort 1.4 1x HDMI 1.4b 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x đầu đọc thẻ SD 1x đầu nối nguồn",,,,
https://cellphones.com.vn/laptop-dell-16-plus-db16250-db6u5387w1.html,Laptop Dell 16 Plus DB16250 DB6U5387W1,Dell,Liên hệ,laptop-dell-16-plus-db16250-db6u5387w1,"Mua ngay Laptop Dell 16 Plus DB16250 DB6U5387W1 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel Iris Xe Graphics ,16GB,LPDDR5X ,Onboard,1TB M.2 PCIe NVMe,16 inches,Độ phủ màu 45% NTSC Độ sáng 300 nit Màn hình chống chói,"4-Cell Battery, 64WHr ","Windows 11 Home, Single Language English + Office Home &amp; Student 2024, 1 năm sử dụng Microsoft 365 Basic (miễn phí 1 năm, hết phải gia hạn)",2560 x 1600 pixels (2.5K),"Intel Core Ultra 5 226V (40 TOPS NPU, 8 lõi, up to 4.5 GHz)",1 x HDMI 2.1 1 x Thunderbolt 4.0 1 x USB 3.2 Gen 1 Type-A 1 x USB 3.2 Gen 2 Type-C 1 x Jack âm thanh 3.5 mm,,,,
https://cellphones.com.vn/laptop-msi-prestige-13-ai-a3mg-036vn.html,Laptop MSI Prestige 13 AI+ A3MG-036VN,MSI,Liên hệ,laptop-msi-prestige-13-ai-a3mg-036vn,"Mua ngay Laptop MSI Prestige 13 AI+ A3MG-036VN giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel Graphics,32GB,LPDDR5x On board,Không nâng cấp,1TB SSD PCIe (M.2 2280) - Max 4TB,13.3 inches,Độ phủ màu 100% DCI-P3 (Điển hình) Độ sáng 400 nits Ánh sáng xanh thấp được chứng nhận bởi SGS,3-Cell (53.8 Whrs),Windows 11 Home (Copilot+ PC),2880 x 1800 pixels,"Intel Core Ultra 9 386H (16 lõi (4 P-cores + 8 E-cores + 4 Low Power E-cores), 16 luồng, 18MB Intel Smart Cache, Max Turbo Frequency 4.9 GHz)","1 x khe thẻ microSD 2 x Thunderbolt 4 (DisplayPort, Power Delivery 3.0) 2 x USB 3.2 Gen 1 Type-A 1 x HDMI 2.1 (8K@60Hz / 4K@120Hz) 1 x Jack mic/tai nghe 3.5 mm",50 NPU TOPS,,,
https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14arp10-83k600e9vn.html,Laptop Lenovo IdeaPad Slim 3 14ARP10 83K600E9VN,Lenovo,Liên hệ,laptop-lenovo-ideapad-slim-3-14arp10-83k600e9vn,"Mua ngay Laptop Lenovo IdeaPad Slim 3 14ARP10 83K600E9VN giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",AMD Radeon 660M Graphics,16GB,SODIMM DDR5-4800,1 khe tối đa 16GB,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hai khe cắm M.2 2242 PCIe 4.0 x4, tối đa 1TB)",14 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 45% NTSC,"50Wh, 65W Round Tip (3-pin)","Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"AMD Ryzen 5 7535HS (6 lõi / 12 luồng, 3.3 / 4.55GHz, 3MB L2 / 16MB L3)","2 x USB-A (USB 3.2 Gen 1, 5Gbps) 1 x USB-C (USB 3.2 Gen 1, 5Gbps, PD 45–65W, DisplayPort 1.2) 1 x HDMI 1.4 1 x Jack tai nghe/mic 3.5 mm 1 x Khe thẻ SD 1 x Cổng nguồn tròn",,,,
https://cellphones.com.vn/laptop-surface-pro-12-inch-x-plus-16gb-512gb.html,Surface Pro 12 inch,Microsoft,Liên hệ,laptop-surface-pro-12-inch-x-plus-16gb-512gb,"Mua ngay Surface Pro 12 inch giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Adreno GPU,16GB,8448 MT/s LPDDR5x RAM,Onboard không nâng cấp,512GB,12 inches,220 PPI PixelSense LCD cảm ứng đa điểmMàn hình kính cường lực,38 Wh,Windows 11 Home,2196 x 1464 pixels,"Snapdragon Xplus (8 lõi, 8 luồng, → 3.20 GHz, 42MB Cache)",2 x USB-C  1 x Surface Pro 12-inch keyboard port,Qualcomm Hexagon 45 TOPS,,,
https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14irh10-83k0000bvn.html,Laptop Lenovo IdeaPad Slim 3 OLED 14IRH10 83K0000BVN,Lenovo,Liên hệ,laptop-lenovo-ideapad-slim-3-14irh10-83k0000bvn,"Mua ngay Laptop Lenovo IdeaPad Slim 3 14IRH10 83K0000BVN giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel UHD Graphics,16GB,DDR5-4800,8GB Onboard + 8GB SO-DIMM DDR5-4800 (Nâng cấp tối đa 24GB (8GB Onboard + 16GB SO-DIMM)),512GB SSD M.2 2242 PCIe 4.0x4 NVMe,14 inches,Độ sáng 400nitsĐộ phủ màu 100% DCI-P3,Đầu tròn 65W (3 chân),"Windows 11 Home Single Language, English Office Trial",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H (8 lõi (4P + 4E) / 12 luồng, P-core 2.1/4.6GHz, E-core 1.5/3.4GHz, 12MB)","2x USB-A (5Gbps / USB 3.2 Gen 1) 1x USB-C (5Gbps / USB 3.2 Gen 1), với USB PD 3.0 và DisplayPort 1.2 1x HDMI 1.4 1x giắc cắm kết hợp tai nghe / micrô (3,5 mm) 1x đầu nối nguồn",,,,
https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-bm069t.html,Laptop ASUS Zenbook UX425EA BM069T,ASUS,Liên hệ,laptop-asus-zenbook-ux425ea-bm069t,"Mua ngay Laptop ASUS Zenbook UX425EA BM069T giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel Iris Xe Graphics,8GB,LPDDR4X (On board),,512 GB SSD NVMe PCIe,14 inches,Chống chói Anti Glare  Tấm nền IPS  LED Backlit,4-cell Li-ion,Windows 10 Home SL,1920 x 1080 pixels (FullHD),Intel Core i5 Tiger Lake - 1135G7,1 x USB 3.2  2 x Thunderbolt 4 USB-C  HDMI,,,,
https://cellphones.com.vn/laptop-acer-gaming-predator-helios-neo-16-phn16-i31-72xe.html,Laptop Acer Gaming Predator Helios Neo 16 PHN16-I31-72XE,Acer,Liên hệ,laptop-acer-gaming-predator-helios-neo-16-phn16-i31-72xe,"Mua ngay Laptop Acer Gaming Predator Helios Neo 16 PHN16-I31-72XE giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.","NVIDIA GeForce RTX 5060 8 GB GDDR7 VRAM, hỗ trợ 3328 NVIDIA CUDA Cores",32GB,DDR5 5600 MHz,"2 khe (2 x 16GB, nâng cấp tối đa 96GB)",512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB),16 inches,"Màn hình Acer ComfyView LED-backlit TFT LCD 3 ms (G2G, Overdrive), hỗ trợ NVIDIA Advanced Optimus Độ phủ màu 100% sRGB Độ sáng 400nits Góc nhìn rộng Thiết kế mỏng (ultra-slim)","92Wh 4-cell Li-ion battery, 230W AC Adapter",Windows 11 Home Single Language,2560 x 1600 pixel (2K),"Intel Core i7-14650HX (16 lõi / 24 luồng, Tần số cơ sở E-core: 1.6 GHz, Tần số turbo tối đa: 5.2 GHz, Bộ nhớ đệm Intel Smart Cache: 30 MB)","2 x USB-C (Thunderbolt 4, DisplayPort 2.1, sạc, DC-in 100W) 3 x USB-A (1 x USB 3.2 Gen 1, 2 x USB 3.2 Gen 2, 1 cổng hỗ trợ sạc khi tắt máy) 1 x HDMI 2.1 1 x Cổng nguồn DC-in 1 x khe thẻ microSD 1 x RJ-45 1 x Jack tai nghe 3.5 mm",572 TOPS,,,
https://cellphones.com.vn/macbook-air-15-m5-10-cpu-10-gpu-16gb-512gb-sac-70w.html,MacBook Air M5 15 inch 2026 10CPU 10GPU 16GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,Apple,Liên hệ,macbook-air-15-m5-10-cpu-10-gpu-16gb-512gb-sac-70w,"Mua ngay MacBook Air M5 15 inch 2026 10CPU 10GPU 16GB 512GB Sạc 70W giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",GPU 10 lõi Neural Accelerators Công nghệ dò tia tốc độ cao bằng phần cứngNeural Engine 16 lõi Băng thông bộ nhớ 153GB/s,16GB,,,512GB,15.3 inches,Màn hình Liquid Retina Màn hình có đèn nền LED với công nghệ IPS Độ sáng 500 nit Hỗ trợ một tỷ màu Dải màu rộng (P3) Công nghệ True ToneHỗ trợ lên đến hai màn hình ngoài,"Pin Li-Po 66,5 watt‑giờ tích hợpThời gian xem video trực tuyến lên đến 18 giờ Thời gian duyệt web trên mạng không dây lên đến 15 giờ",macOS,2880 x 1864 pixels,Chip Apple M5 CPU 10 lõi với 4 lõi siêu xử lý và 6 lõi tiết kiệm điện,"Cổng sạc MagSafe 3 Jack cắm tai nghe 3,5 mm Hai cổng Thunderbolt 4 (USB-C) hỗ trợ Sạc / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s)",,,,
https://cellphones.com.vn/laptop-hp-14-em0023au-d0bg7pa.html,Laptop HP 14‑EM0023AU D0BG7PA,HP,Liên hệ,laptop-hp-14-em0023au-d0bg7pa,"Mua ngay Laptop HP 14‑EM0023AU D0BG7PA giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",AMD Radeon 610M Graphics,16GB,DDR4-3200 MT/s Onboard,,512 GB PCIe NVMeTM M.2 SSD,14 inches,Màn hình chống chóiĐộ sáng 250 nitsĐộ phủ màu 45% NTSC,"3-cell, 41 Wh Li-ion polymer",Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7520U (up to 4.3 GHz max boost clock, 4 MB L3 cache, 4 lõi, 8 luồng)","1 x USB Type-C (5Gbps, chỉ truyền dữ liệu) 2 x USB Type-A (5Gbps) 1 x cổng nguồn AC (smart pin) 1 x HDMI 1.4b 1 x jack tai nghe/mic 3.5 mm",,,,
