url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Loại micro,Phạm vi sử dụng,Dung lượng pin,Hãng sản xuất,Kết nối,Tỷ lệ lấy mẫu,Tỷ lệ tín hiệu trên tạp âm,Tần số đáp ứng,Dòng camera ,Độ phân giải màn hình,Pin,Tiện ích,Lõi pin,Tính năng khác,Chất liệu ,Cổng sạc vào
https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-plus-d.html,Microphone thu âm không dây Gochek Ultra Plus D,Gochek,Liên hệ,microphone-thu-am-khong-day-gochek-ultra-plus-d,"Mua microphone thu âm không dây Gochek Ultra Plus D chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","Type-C, Lightning",100m trong điều kiện không có vật cản25m khi có vật cản,300mAh,Gochek,,,,,,,,,,,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-m2-duo-camera-usb-c-lightning-rx.html,Microphone thu âm không dây Hollyland Lark M2 Combo Duo Camera + USB-C + Lightning RX,Hollyland Lark,Liên hệ,microphone-hollyland-lark-m2-duo-camera-usb-c-lightning-rx,"Mua Microphone thu âm không dây Hollyland Lark M2 Combo Duo Camera + USB-C + Lightning RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","Type-C, Lightning","300m LOS, 40m NLOS",TX: 1 x Pin sạc tích hợp 145 mAh (Không thể thay thế)RX: 1x Pin sạc tích hợp 97 mAhHộp sạc Pin sạc Lithium-Ion 1950 mAh,Hollyland Lark,2.4 GHz Digital,48 kHz,&gt; 70dB,20 Hz đến 20 kHz,,,,,,,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-m2-duo-camera-rx.html,Microphone thu âm không dây Hollyland Lark M2 Camera Duo Camera RX,Hollyland Lark,Liên hệ,bo-microphone-thu-am-hollyland-lark-m2-duo-camera-rx,"Mua Microphone thu âm không dây Hollyland Lark M2 Camera Duo Camera RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",,"300m LOS, 40m NLOS",TX: 1 x Pin sạc tích hợp 145 mAh (Không thể thay thế)RX: 1x Pin sạc tích hợp 97 mAhHộp sạc Pin sạc Lithium-Ion 1950 mAh,Hollyland Lark,2.4 GHz Digital,48 kHz,&gt; 70dB,20 Hz đến 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-thu-am-shure-sm7db.html,Microphone thu âm Podcast/phòng thu/Livestream Shure SM7DB,Shure,Liên hệ,microphone-thu-am-shure-sm7db,"Mua Microphone thu âm Podcast/phòng thu/Livestream Shure SM7DB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",,,,Shure,"XLR, male",,11 dB,"50 - 20,000 Hz",,,,,,,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-m2s-camera-usb-c-rx.html,Microphone thu âm không dây Hollyland Lark M2S Combo Camera + USB-C RX,Hollyland Lark,Liên hệ,bo-microphone-thu-am-hollyland-lark-m2s-camera-usb-c-rx,"Mua Microphone thu âm không dây Hollyland Lark M2S Combo Camera + USB-C RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,"Lên tới 300m LOS, 60m NLOS",RX: 1 x Pin sạc tích hợp 145 mAh (Không thể thay thế)TX: 1 x Pin sạc tích hợp 85 mAh (Không thể thay thế)Hộp sạc: Pin sạc Lithium-Ion 1300 mAh,Hollyland Lark,2.4 GHz Digital,"48 kHz, 24-Bit",,20 Hz đến 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-saramonic-blink-500-prox-b6.html,Microphone Saramonic Blink 500 ProX B6,Saramonic,Liên hệ,microphone-saramonic-blink-500-prox-b6,"Mua microphone Saramonic Blink 500 ProX B6 chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay microphone Saramonic Blink 500 ProX B6 tại đây.",Type-C,100 mét,TX: 400mAhRX: 400mAhHộp sạc: 3000mAh,Saramonic,,48kHz / 16bit,≥ 84dB,20Hz - 20kHz,,,,,,,,
https://cellphones.com.vn/microphone-dji-mini-2-tx-rx-1-mic.html,Microphone DJI MiniI 2 (TX+RX) 1 Mic,DJI,Liên hệ,microphone-dji-mini-2-tx-rx-1-mic,"Mua Microphone DJI MiniI 2 (TX+RX) 1 Mic chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Microphone DJI MiniI 2 (TX+RX) 1 Mic tại đây.",,,"TX 114 mAh, RX 170 mAh",DJI,,,,20 Hz đến 20 kHz,Camera hành động,,,,,,,
https://cellphones.com.vn/microphone-saramonic-air-se-2tx-1rx.html,Microphone Saramonic Air SE-(1RX x 2TX),Saramonic,Liên hệ,microphone-saramonic-air-se-2tx-1rx,"Mua Microphone Saramonic Air SE-(1RX x 2TX) chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Saramonic Air SE-(1RX x 2TX) tại đây.","Type-C, Lightning",200 m,1300mAh,Saramonic,,48 kHz (Sample Rate),&gt; 80 dB (SNR),20 Hz - 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s24-s2403.html,Microphone thu âm không dây Gochek Ultra S24 - S2403,Gochek,Liên hệ,microphone-thu-am-khong-day-gochek-ultra-s24-s2403,"Mua microphone thu âm không dây Gochek Ultra S24 - S2403 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","Type-C, Lightning",Không vật cản: 50mCó vật cản: 6 đến 10m,150mAh,Gochek,,,,35Hz - 20kHz,,RX: 8gTX: 12g,,,,,,
https://cellphones.com.vn/microphone-khong-day-boya-by-v10.html,Microphone thu âm không dây Boya BY-V10 V2.0,Boya,Liên hệ,microphone-khong-day-boya-by-v10,"Mua Microphone thu âm không dây Boya BY-V10 V2.0 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,100 mét,,Boya,,48 kHz / 16-bit,80 dB,20 Hz - 16 kHz,,,Pin Lithium-ion tích hợp,,,,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-m2s-mini-camera-usb-c-rx.html,Microphone thu âm không dây Hollyland Lark M2S Mini Combo Camera + USB-C RX,Hollyland Lark,Liên hệ,bo-microphone-thu-am-hollyland-lark-m2s-mini-camera-usb-c-rx,"Mua Microphone thu âm không dây Hollyland Lark M2S Mini Combo Camera + USB-C RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,"Lên tới 300m LOS, 60m NLOS",RX: 1 x Pin sạc tích hợp 145 mAh (Không thể thay thế)TX: 1 x Pin sạc tích hợp 85 mAh (Không thể thay thế)Hộp sạc: Pin sạc Lithium-Ion 1300 mAh,Hollyland Lark,2.4 GHz Digital,"48 kHz, 24-Bit",,20 Hz đến 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-dien-thoai-dji-mic-mini-2-2-tx-1-rx.html,Microphone không dây DJI Mic Mini 2 (2 TX + 1 MOBILE RX + CHARGING CASE),DJI,Liên hệ,microphone-dien-thoai-dji-mic-mini-2-2-tx-1-rx,"Mua Microphone không dây DJI Mic Mini 2 (2 TX + 1 MOBILE RX + CHARGING CASE) chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Microphone không dây DJI Mic Mini 2 (2 TX + 1 MOBILE RX + CHARGING CASE) tại đây.",,,"TX 114 mAh, RX 170 mAh, Hộp sạc 1950 mAh",DJI,,,,20 Hz đến 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-thu-am-shure-sm7b.html,Microphone thu âm Podcast/phòng thu/Livestream Shure SM7B,Shure,Liên hệ,microphone-thu-am-shure-sm7b,"Mua Microphone thu âm Podcast/phòng thu/Livestream Shure SM7B chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",,,,Shure,,,,"50 - 20,000 Hz",,,,,,,,
https://cellphones.com.vn/microphone-khong-day-dji-ii-tx-rx-1-mic.html,Microphone không dây DJI II (TX+RX) 1 Mic,DJI,Liên hệ,microphone-khong-day-dji-ii-tx-rx-1-mic,"Mua Microphone không dây DJI II (TX+RX) 1 Mic chính hãng - Giá rẻ, hỗ trợ trả góp, bảo hành uy tín, giao hàng toàn quốc. Mua ngay DJI II (TX+RX) 1 Mic tại đây.","iOS, Type-C",250 m (FCC)160 m (CE),TX: Khoảng 5.5 giờRX: Khoảng 5 giờ,DJI,,,23 dBA,,,,,,,,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-a1-duo-usb-c-rx.html,Microphone thu âm không dây Hollyland Lark A1 Duo USB-C RX,Hollyland Lark,Liên hệ,bo-microphone-thu-am-hollyland-lark-a1-duo-usb-c-rx,"Mua Microphone thu âm không dây Hollyland Lark A1 Duo USB-C RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,200m,TX: 65mAhHộp sạc: 460mAh,Hollyland Lark,Chế độ GFSK 2Mbps,48kHz/24Bit ,≥ 67dB,20Hz~20KHz,,,,,,,,
https://cellphones.com.vn/microphone-dien-thoai-dji-mic-mini-2-1-tx-1-rx.html,Microphone không dây DJI Mic Mini 2 (1 TX + 1 MOBILE RX + CHARGING CASE),DJI,Liên hệ,microphone-dien-thoai-dji-mic-mini-2-1-tx-1-rx,"Mua Microphone không dây DJI Mic Mini 2 (1 TX + 1 MOBILE RX + CHARGING CASE) chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Microphone không dây DJI Mic Mini 2 (1 TX + 1 MOBILE RX + CHARGING CASE) tại đây.",,,"TX 114 mAh, RX 170 mAh, Hộp sạc 275 mAh",DJI,,,,20 Hz đến 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-godox-c01-kit-2.html,Microphone Godox C01 Kit2,Godox,Liên hệ,microphone-godox-c01-kit2,"Mua Microphone Godox C01 Kit2 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Type-C,~ 200m,≈ 27 giờ (Kèm hộp sạc với bản 2 mic) ,Godox,"USB-C (Dành cho điện thoại thông minh, máy tính bảng, action cam)",,,,,,,,,,,
https://cellphones.com.vn/microphone-thu-am-boya-mic-2-2tx-1rx.html,Microphone thu âm không dây Boya MIC 2 ( 2TX + 1RX ),Boya,Liên hệ,microphone-thu-am-boya-mic-2-2tx-1rx,"Mua microphone thu âm không dây Boya MIC 2 ( 2TX + 1RX ) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,300 m,2900 mAh,Boya,,48 kHz / 24-bit48 kHz / 32-bit,＞ 90 dB,20 Hz - 20 kHz,,,Pin Lithium-ion tích hợp,"Phát lại mà không cần rút phích cắm máy thuSạc trong khi ghi âmCảm ứng thông minh, điều khiển dễ dàng",,,,
https://cellphones.com.vn/microphone-thu-am-boya-k3.html,Microphone thu âm Podcast/phòng thu/livestream Boya K3,Boya,Liên hệ,microphone-thu-am-boya-k3,"Mua Microphone thu âm Podcast/phòng thu/Livestream Boya K3 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,,,Boya,,24bit / 48 kHz,75 dB,20 Hz - 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-khong-day-dji-mini-1-mic-tx-rx.html,Microphone không dây DJI Mini (TX+RX) 1 Mic,DJI,Liên hệ,microphone-khong-day-dji-mini-1-mic-tx-rx,"Mua Microphone không dây DJI Mini (TX+RX) 1 Mic chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,400 m,TX: 114 mAhRX: 170mAhHộp sạc: 1950mAh,DJI,,,24 dBA,Low Cut Off: 20 Hz - 20 kHzLow Cut On: 100 Hz - 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-thu-am-khong-day-boya-mini.html,Microphone thu âm không dây Boya Mini,Boya,Liên hệ,microphone-thu-am-khong-day-boya-mini,"Mua Microphone thu âm không dây Boya Mini chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,100 mét,Hộp sạc:	260mAh,Boya,,48 kHz / 16-bit,＞ 80 dB,20 Hz - 20 kHz,,,Pin Lithium-ion tích hợp,,,,,
https://cellphones.com.vn/mic-khong-day-boya-link.html,Micro thu âm không dây Boya Link,Boya,Liên hệ,mic-khong-day-boya-link,"Mua Micro thu âm không dây Boya Link chính hãng - Giá rẻ, hỗ trợ trả góp, bảo hành uy tín, giao hàng toàn quốc. Mua ngay Boya Link tại đây.","iOS, Type-C",100m (không chướng ngại vật),TX: Khoảng 10 giờRX: Khoảng 6 giờ,Boya,,48kHz,&gt;85dB,20Hz-20kHz,,,,,,,,
https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s25-s2503.html,Microphone thu âm không dây Gochek Ultra S25 - S2503,Gochek,Liên hệ,microphone-thu-am-khong-day-gochek-ultra-s25-s2503,"Mua microphone thu âm không dây Gochek Ultra S25 - S2503 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","Type-C, Lightning",Có vật cản: 15-20mKhông có vật cản: 250m,,Gochek,,24 Bit,,,,,,,,,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-m2-duo-lightning-rx.html,Microphone thu âm không dây Hollyland Lark M2 Duo Lightning RX,Hollyland Lark,Liên hệ,bo-microphone-thu-am-hollyland-lark-m2-duo-lightning-rx,"Mua Microphone thu âm không dây Hollyland Lark M2 Duo Lightning RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Lightning,"300m LOS, 40m NLOS",TX: 1 x Pin sạc tích hợpRX: 1x Pin sạc tích hợp 97 mAhHộp sạc Pin sạc Lithium-Ion 750 mAh,Hollyland Lark,2.4 GHz Digital,48 kHz,&gt; 70dB,20 Hz đến 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-thu-am-shure-mv7-plus-kit.html,Microphone thu âm Podcast/phòng thu/Livestream Shure MV7+ Kit,Shure,Liên hệ,microphone-thu-am-shure-mv7-plus-kit,"Mua Microphone thu âm Shure MV7+ Kit chính hãng - Giá rẻ, góp 0%, bảo hành 12 tháng, giao toàn quốc. Mua ngay Micro Shure MV7 Plus Kit tại đây.",Type-C,,,Shure,"USB-C, XLR, 1/8″ (tai nghe)",24-bit/48kHz,,50 Hz -16 kHz,,,,,,,,
https://cellphones.com.vn/microphone-saramonic-blink-100-b1.html,Microphone Saramonic Blink 100 B1,Saramonic,Liên hệ,CHT.SM.24,"Mua Microphone Saramonic Blink 100 B1 chính hãng - Giá rẻ, hỗ trợ trả góp, bảo hành uy tín, giao hàng toàn quốc. Mua Blink 100 B1 tại đây.",,50m (không có chướng ngại vật),Khoảng 10 giờ,Saramonic,2.4GHz,,,20Hz-16kHz,,,,,,,,
https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s24-s2402.html,Microphone thu âm không dây Gochek Ultra S24 - S2402,Gochek,Liên hệ,microphone-thu-am-khong-day-gochek-ultra-s24-s2402,"Mua microphone thu âm không dây Gochek Ultra S24 - S2402 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","Type-C, Lightning",Không vật cản: 50mCó vật cản: 6 đến 10m,150mAh,Gochek,,,,35Hz - 20kHz,,RX: 8gTX: 12g,,,,,,
https://cellphones.com.vn/microphone-thu-am-shure-mv7i.html,Microphone thu âm Podcast/phòng thu/Livestream Shure MV7i,Shure,Liên hệ,microphone-thu-am-shure-mv7i,"Mua Microphone thu âm Shure MV7i chính hãng - Giá rẻ, góp 0%, bảo hành 12 tháng, giao hàng toàn quốc. Mua ngay Micro Shure MV7i tại đây.",Type-C,,,Shure,,"24-bit, 48kHz",-118dBFS,"50 - 16,000 Hz",,,,Chế độ ghi âm linh hoạtÂm thanh tùy chỉnh và trộn dễ dàng,,,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-a1-mini-duo-usb-c-rx.html,Microphone thu âm không dây Hollyland Lark A1 Mini Duo USB-C RX,Hollyland Lark,Liên hệ,bo-microphone-thu-am-hollyland-lark-a1-mini-duo-usb-c-rx,"Mua Microphone thu âm không dây Hollyland Lark A1 Mini Duo USB-C RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,200m,TX: 65mAhHộp sạc: 460mAh,Hollyland Lark,Chế độ GFSK 2Mbps,48kHz/24Bit ,≥ 67dB,20Hz~20KHz,,,,,,,,
https://cellphones.com.vn/microphone-khong-day-dji-mini-2-mic-tx-tx-rx.html,Microphone không dây DJI Mini (TX+TX+RX) 2 Mic,DJI,Liên hệ,microphone-khong-day-dji-mini-2-mic-tx-tx-rx,"Mua Microphone không dây DJI Mini (TX+TX+RX) 2 Mic chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,400 m,TX: 114 mAhRX: 170mAhHộp sạc: 1950mAh,DJI,,,24 dBA,Low Cut Off: 20 Hz - 20 kHzLow Cut On: 100 Hz - 20 kHz,,,,,,,,
