url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Kích thước thực tế (bao gồm viền),Tấm nền,Tỉ lệ màn hình,Tần số quét,Thời gian phản hồi,Treo tường,Cổng kết nối,Kích thước,Trọng lượng,Độ phân giải màn hình,Độ tương phản động,Tính năng khác,Chuẩn VESA,Góc xoay dọc,Góc xoay ngang,Kích cỡ màn hình hỗ trợ,Tải trọng màn hình tối đa,Hãng sản xuất,Góc lật màn hình,Độ dày bàn phù hợp,Cổng giao tiếp,Kích thước màn hình
https://cellphones.com.vn/man-hinh-vsp-ip2706sg-27-inch.html,Màn hình VSP IP2706SG-W 27 inch,VSP,Liên hệ,MH.VSP.9,"Mua Màn hình VSP IP2706SG-W 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,120 Hz,1ms,75 x 75 mm,1 x HDMI 2.0 (120Hz) 1 x VGA (75Hz),614.6 x 136.4 x 437.6 mm,3.55 Kg,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-gaming-samsung-odyssey-ls27dg502eexxv.html,Màn hình Gaming Samsung Odyssey LS27DG502EEXXV,Samsung,Liên hệ,MH.SS.82,"Mua Màn hình Gaming Samsung Odyssey LS27DG502EEXXV chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,180 Hz,1ms,100 x 100 mm,"HDMI, Cổng tai nghe, Display Port, Service, DC 19V",Có chân đế: 613 x 552 x 263.5 mm (RxCxD) Không có chân đế: 613 x 361.5 x 70 mm (RxCxD),Có chân đế: 6.4 kgKhông có chân đế: 3.4 kg,2560 x 1440 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-gaming-asus-rog-swift-oled-pg27aqdp-27-inch.html,Màn hình Gaming ASUS ROG Swift OLED PG27AQDP 27 inch,ASUS,Liên hệ,MH.AS.108,"Mua Màn hình Gaming ASUS ROG Swift OLED PG27AQDP 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,WOLED,16:9,480 Hz,0.03ms,100 x 100 mm,1x DisplayPort 1.4 DSC 2x HDMI 2.1 1x Cổng tai nghe 2x USB 3.2 Gen 1 Type-A,Có chân đế: 60.50 x 54.80 x 27.40 cmKhông chân đế: 60.50 x 35.10 x 5.00 cm,Có chân đế: 6.2 kg Không chân đế: 3.5 kg,2560 x 1440 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-philips-24e2n1500-24-inch.html,Màn hình Philips 24E2N1500 24 inch,Philips,Liên hệ,MH.PL.44,"Mua Màn hình Philips 24E2N1500 24 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",24 inches,IPS,16:9,120 Hz,1ms,100 x 100 mm,1 x HDMI 2.0 1 x DisplayPort 1.4,Không chân đế: 543 × 318 × 32 mm Có chân đế (chiều cao tối đa): 543 × 412 × 180 mm,Không chân đế: 2.23 kg Có chân đế: 2.5 kg,2560 x 1440 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-cong-msi-pro-mp341cq-e12-34-inch.html,Màn hình cong MSI PRO MP341CQ E12 34 inch,MSI,Liên hệ,MH.MSI.103,"Mua Màn hình cong MSI PRO MP341CQ E12 34 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",34 inches,VA,21:9,120 Hz,1ms,100 x 100 mm,2 x HDMI 2.0b  1 x DisplayPort 1.4a,809.34 x 237 x 469.54 mm,7.1 kg,3440 x 1440 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-acer-ek241y-g-24-inch.html,Màn hình Acer EK241Y G 24 inch,Acer,Liên hệ,MH.AC.15,"Mua Màn hình Acer EK241Y G 24 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",24 inches,IPS,16:9,120 Hz,1ms,100 x 100 mm,1 x VGA  1 x HDMI (1.4),,,1920 x 1080 pixels,"100,000,000:1 ",,,,,,,,,,,
https://cellphones.com.vn/man-hinh-lg-29u531a-w-29-inch.html,Màn hình LG 29U531A-W 29 inch,LG,Liên hệ,MH.LG.100,"Mua Màn hình LG 29U531A-W 29 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",29 inches,IPS,21:9,100 Hz,5ms,100 x 100 mm,DisplayPort HDMIUSB-CHeadphone out 3-pole (Sound Only),Không có chân đế: 688.5 x 313.4 x 76.9 mm Có chân đế: 688.5 x 408.7 x 220 mm,Không có chân đế: 4.1 kg Có chân đế: 5.2 kg,2560 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-do-hoa-asus-24-inch-proart-pa248qv.html,Màn hình đồ họa ASUS ProArt PA248QV 24.1 inch,ASUS,Liên hệ,PKIT.075,"Màn hình Asus PROART PA248QV được ứng dụng khả năng tái tạo màu chuẩn xác, khả năng xoay 90 độ tiện lợi. Mua ngay Asus PROART PA248QV tại đây",24.1 inches,,16:10,75 Hz,5ms,100 x 100 mm,"Signal Input: HDMI, D-Sub, DisplayPort PC Audio Input : 3.5mm Mini-Jack Earphone jack : 3.5mm Mini-Jack USB Port(s) : 3.0x4",Kích thước kèm với kệ (W x H x D) :533 x (375~505) x 211 mm  Kích thước không kèm kệ (W x H x D) :533 x 360 x 47 mm,Trọng lượng tịnh với chân đế :6.1 Kg  Trọng lượng tịnh không có chân đế :3.9 Kg,1920 x 1200 pixels,100000000:1,"2W x 2 Stereo RMS, VESA Wall Mounting, Kensington lock",,,,,,,,,,
https://cellphones.com.vn/man-hinh-gaming-lg-ultragear-27gs65f-b-27-inch.html,Màn hình Gaming LG UltraGear 27GS65F-B 27 inch,LG,Liên hệ,MH.LG.92,"Mua Màn hình Gaming LG UltraGear 27GS65F-B 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,180 Hz,1ms,100 x 100 mm,1 x DP 1.4  1 x HDMI  3 cực Đầu ra tai nghe,,,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/gia-treo-man-hinh-e-dra-ema7305pd-20-32-inch.html,Giá treo màn hình máy tính E-DRA EMA7305PD 20 - 32 inch,E-dra,Liên hệ,gia-treo-man-hinh-e-dra-ema7305pd-20-32-inch,"Mua Giá treo màn hình máy tính E-DRA EMA7305PD 20 - 32 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,,,,,,,,,"75 x 75 mm, 100 x 100 mm",360 độ,180 độ,20 - 32 inch,2 - 10 kg,E-dra,,,,
