url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Trọng lượng ,Công nghệ âm thanh ,Công suất ,Thời lượng pin ,Chống nước,Hãng sản xuất,Phạm vi kết nối ,Kích thước,Số loa kết nối cùng lúc,Cổng kết nối ,Cấu tạo,Tính năng khác,Tiện ích,Dung lượng Pin,Pin,Công suất,Micro,Thời lượng sử dụng Pin
https://cellphones.com.vn/loa-bluetooth-sony-srs-xb100.html,Loa Bluetooth Sony SRS-XB100 Extra Bass,Sony,Liên hệ,L.SN.02,"Mua Loa Sony SRS-XB100 Extra Bass chất lượng - Giá rẻ, ưu đãi tốt, có trả góp, giao hàng nhanh chóng toàn quốc. Mua ngay SRS-XB100 tại đây.",274g,DSP X-BalancedSpeaker UnitKhử tiếng vọng,5W,16 giờ,IP67,Sony,10 m,,,,,,,,,,,
https://cellphones.com.vn/loa-bluetooth-jbl-boombox-3.html,Loa Bluetooth JBL Boombox 3,JBL,Liên hệ,loa-bluetooth-jbl-boombox-3,"Mua Loa bluetooth JBL Boombox 3 chính hãng - Giá rẻ, chất lượng, bảo hành lâu dài, giao hàng toàn quốc. Mua ngay JBL Boombox 3 tại đây.",6.7 kg ,JBL Original Pro Sound ,180W,24 giờ,IP67,JBL,,48.2 cm x 25.7 cm x 20.0 cm,2 loa,,,,,,,,,
https://cellphones.com.vn/loa-alpha-works-aw-w89.html,Loa Bluetooth Alpha Works AW-W89,Alpha Works,Liên hệ,loa-alpha-works-aw-w89,"Mua Loa Alpha Works AW-W89 chính hãng - Giá rẻ, trả góp tốt, bảo hành uy tín, giao hàng nhanh toàn quốc. Mua Alpha Works AW-W89 tại đây.",3.25 kg,True Wireless Stereo,60W,12800mAh,,Alpha Works,,280 x 150 x 172 mm,,USBAUXMicro 6.35 mm,Loa woofer 4 inch Loa tweeter vòm 20 lõi Ống cộng hưởng bass,,,,,,,
https://cellphones.com.vn/loa-bluetooth-edifier-es20.html,Loa Bluetooth Edifier ES20,Edifier,Liên hệ,loa-bluetooth-edifier-es20,"Mua loa Edifier ES20 chính hãng - Giá tốt 06/2026, Giảm thêm Smember, bảo hành uy tín, giao hàng toàn quốc. Mua ngay Edifier ES20 tại đây.",326g,,RMS 6W,15 giờ,IP67,Edifier,,90.4 x 49.7 x 93.7 mm,2,,,Kết nối TWS stereoAmbient Light,,,,,,
https://cellphones.com.vn/loa-bluetooth-fender-riff.html,Loa Bluetooth Fender Riff,Fender,Liên hệ,loa-bluetooth-fender-riff,"Mua Loa Bluetooth Fender Riff chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Fender Riff tại đây.",2.41 kg,,60W,30 giờ,IP54,Fender,,20 x 20 x 30 cm,,Line guitar 6.3mm AUX IN 3.5mm,2 x loa trầm toàn dải 2 x loa tweeter 2 x bộ tản nhiệt âm trầm,,,,,,,
https://cellphones.com.vn/loa-bluetooth-sony-ult-field-1.html,Loa Bluetooth Sony ULT Field 1,Sony,Liên hệ,loa-bluetooth-sony-ult-field-1,"Mua Loa Sony ULT Field 1 chính hãng - Giá tốt, Tặng 6 tháng bảo hành mở rộng, Giảm Smember, giao toàn quốc. Mua ngay ULT Field SRS-ULT10 tại đây.",,ULT POWER SOUND,Hãng không công bố,12 giờ,IP67,Sony,,,,,Loa tweeter: Xấp xỉ φ16 mmLoa woofer: Xấp xỉ 83 x 42 mm,Khử tiếng vọng khi đàm thoạiStereo Pair,,,,,,
https://cellphones.com.vn/loa-lg-soundbar-sc9s.html,Loa Thanh LG Soundbar SC9S,LG,Liên hệ,loa-lg-soundbar-sc9s,"Mua Loa Thanh LG Soundbar SC9S chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay LG Soundbar SC9S tại đây.",Phần cứng: 4.1 kg  Loa siêu trầm: 7.8 kg,Pass-through 4K và VRR/ ALLM WOW interfaceAACAI Sound ProDolby DigitalDTS Digital Surround,400W,,,LG,,Phần cứng: 975 x 63 x 125 mmLoa siêu trầm: 221 x 390 x 313 mm,,HDMI ARC (cắm tivi)OpticalUSB,,,,,,,,
https://cellphones.com.vn/loa-karaoke-acnos-flac-36-ultimate.html,Loa karaoke xách tay Acnos Flac 36 Ultimate,Acnos,Liên hệ,loa-karaoke-acnos-flac-36-ultimate,"Mua Loa Acnos Flac 36 Ultimate chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Acnos Flac 36 Ultimate tại đây.",19.8 kg,,500 W (RMS),,,Acnos,,480 × 320 × 278 mm,,"USB MP3 (Type A),OTG (USB-C),HDMI ARC (IN),OPTICAL (IN),MIC 6.35mm, GUITAR 6.35mm, AUX IN 3.5mm, SUB OUT 3.5mm, Bluetooth","1 loa SUB 20cm, 2 loa MID 10cm, 2 loa Super TWEETER",Mic Wireless Stereo (MWS) Wireless Microphone,,,,,,
https://cellphones.com.vn/loa-bluetooth-energizer-bts163bk-tich-hop-pin-du-phong.html,Loa Bluetooth Energizer tích hợp pin dự phòng BTS163BK,Energizer,Liên hệ,loa-bluetooth-energizer-bts163bk-tich-hop-pin-du-phong,"Mua Loa Bluetooth Energizer tích hợp pin dự phòng BTS163BK chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Energizer BTS163BK tại đây.",790g ± 10g,,16 W,Nghe nhạc: 4 giờ,IPX65,Energizer,, Φ102*193(H) mm,,"Micro SD, USB, AUX",,"Tích hợp sạc dự phòngHỗ trợ chức năng Rảnh tay, thẻ Micro SD, USB, AUX",,,,,,
https://cellphones.com.vn/loa-bluetooth-edifier-mp85.html,Loa Bluetooth Edifier MP85,Edifier,Liên hệ,L.ED.06,"Mua Loa Edifier MP85  chính hãng - Giá rẻ, ưu đãi tốt, chất lượng, độ bền cao, giao hàng miễn phí toàn quốc. Mua Edifier MP85 tại đây.",,,2.2W,480mAh,,Edifier,10 m,,,,,,,,,,,
