url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Dung lượng RAM,Bộ nhớ trong,Pin,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Công nghệ NFC,Thẻ SIM,Loại CPU,Tương thích,Cảm biến
https://cellphones.com.vn/masstel-tab-10-4g.html,Masstel Tab 10,Masstel,Liên hệ,masstel-tab-10-4g,"Mua masstel tab 10 chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay masstel tab 10 tại CellphoneS ngay!",,,,,,,,,,,,,,,,
https://cellphones.com.vn/may-tinh-bang-oppo-pad-5.html,OPPO Pad 5 8GB 256GB,OPPO,Liên hệ,may-tinh-bang-oppo-pad-5,"Máy tính bảng OPPO Pad 5 8GB 256GB giá rẻ, chất lượng tốt - Bảo hành 12 tháng, đổi mới 30 ngày. Mua tablet OPPO Pad 5 CellphoneS giao nhanh.",12.1 inches,LTPS LCD,"8MP, f/2.0",8MP,MediaTek Dimensity 7300-Ultra,8 GB,256 GB,10050 mAh,ColorOS 16,2800 × 1980 pixels,"Tần số quét 120Hz, 10 tỷ màu (8 + 4bit)",,,,,
https://cellphones.com.vn/ipad-pro-m5-11-inch-5g-1tb.html,iPad Pro chip M5 11 inch 5G 1TB | Chính hãng Apple Việt Nam,Apple,Liên hệ,ipad-pro-m5-11-inch-5g-1tb,Mua iPad Pro M4 11 inch 5G 256GB chính hãng giá rẻ mới nhất 06/2026 - đăng ký iPad Pro M4 11 inch 5G 256GB về hàng sớm nhất tại CellphoneS.,11 inches,Ultra Retina XDR,"12MP Wide, khẩu độ ƒ/1.8","12MP, khẩu độ ƒ/2.0, Center Stage (cạnh ngang)",Apple M5,16 GB,1 TB,"Pin Li-Po 31,29 watt-giờ, thời gian sử dụng Wi-Fi đến 10 giờ",iPadOS 26,2420x1668 pixel,Công nghệ ProMotion0 –120Hz True ToneDải màu rộng (P3)Lớp phủ chống phản chiếuKháng dầu chống bám vân tay,Không,1 eSIM,10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,Apple Pencil ProApple Pencil (USB-C)Magic Keyboard,
https://cellphones.com.vn/may-tinh-bang-xiaomi-pad-7-pro.html,Xiaomi Pad 7 Pro 8GB 256GB,Xiaomi,Liên hệ,may-tinh-bang-xiaomi-pad-7-pro,"Mua máy tính bảng Xiaomi Mi Pad 7 Pro 8GB 256GB giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",11.2 inches,IPS LCD,"50 MP, f/1.8, 1/2.76&quot;, 0.64µm, PDAF","32 MP, f/2.2",Qualcomm SM8635 Snapdragon 8s Gen 3 ,8 GB,256 GB,8850 mAh," Android 15, Xiaomi HyperOS 2",2136 x 3200 pixels,"68 tỷ màu, 144Hz, HDR10, Dolby Vision, 800 nits; Tỷ lệ 3:2, mật độ điểm ảnh 345 ppi; DCI-P3",Không,,1x2.8 GHz Cortex-X4 &amp; 4x2.6 GHz Cortex-A720 &amp; 3x1.9 GHz Cortex-A520,,
https://cellphones.com.vn/ipad-mini-7-256gb.html,iPad mini 7 2024 Wifi 256GB | Chính hãng Apple Việt Nam,Apple,Liên hệ,ipad-mini-7-256gb,"Mua iPad Mini 7 2024 Wifi 256GB chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay iPad Mini 7 2024 Wifi 256GB tại đây.",8.3 inches,Liquid Retina,"Camera Wide 12MP, khẩu độ ƒ/1.8","Camera trước Ultra Wide 12MP, Khẩu độ ƒ/2.4",Chip A17 Pro,,256 GB,"Tích hợp pin sạc Li-Po 19,3 watt‑giờ",iPadOS 18,2266 x 1488 pixels,Màn hình Multi-TouchDải màu rộng (P3)True ToneLớp phủ kháng dầu chống in dấu vân tayCông nghệ ép kínĐộ sáng 500 nitLớp phủ chống phản chiếu,,,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Hỗ trợ Apple Pencil Pro + Apple Pencil (USB‑C) Tính năng lướt của Apple Pencil,
https://cellphones.com.vn/may-tinh-bang-lenovo-legion-tab-gen-3.html,Máy tính bảng Lenovo Legion Tab Gen 3 12GB 256GB,Lenovo,Liên hệ,may-tinh-bang-lenovo-legion-tab-gen-3,"Mua Máy tính bảng Lenovo Legion Tab Gen 3 12GB 256GB chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay máy tính bảng Lenovo Legion Tab Gen 3 tại đây.",8.8 inches,,AF 13 MP + 2 MP (macro),8 MP FF,Snapdragon 8 Gen 3,12 GB,256 GB,6550 mAh,Android™ 14,2560 x 1600 pixels (2.5K),"Tốc độ làm mới 165HzTỷ lệ 16:1098% DCI-P3500-900 nitHDR10Cảm ứng 10 điểmChứng nhận TÜV (Ánh sáng xanh thấp, FlickerFree)",,,8 nhân,,
https://cellphones.com.vn/ipad-pro-m5-13-inch-5g-512gb.html,iPad Pro chip M5 13 inch 5G 512GB | Chính hãng Apple Việt Nam,Apple,Liên hệ,ipad-pro-m5-13-inch-5g-512gb,Mua iPad Pro chip M5 13 inch 5G 512GB chính hãng giá rẻ mới nhất 06/2026 - đăng ký iPad Pro M5 13 inch 5G 512GB về hàng sớm nhất tại CellphoneS.,13 inches,Ultra Retina XDR,"12MP Wide, khẩu độ ƒ/1.8","12MP, khẩu độ ƒ/2.0, Center Stage (cạnh ngang)",Apple M5,12 GB,512 GB,"Pin Li-Po 31,29 watt-giờ, thời gian sử dụng Wi-Fi đến 10 giờ",iPadOS 26,2420x1668 pixel,Công nghệ ProMotion0 –120Hz True ToneDải màu rộng (P3)Lớp phủ chống phản chiếuKháng dầu chống bám vân tay,Không,1 eSIM,9 lõi (3 hiệu năng + 6 tiết kiệm điện),Apple Pencil ProApple Pencil (USB-C)Magic Keyboard,
https://cellphones.com.vn/huawei-matepad-c7.html,Huawei MatePad C7,Huawei,Liên hệ,huawei-matepad-c7,"Mua máy tính bảng Huawei MatePad C7 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",10.9 inches,TFT LCD,"13 MP, f/1.8","8 MP, f/2.0",Snapdragon™ 865,6 GB,128 GB,7250 mAh,HarmonyOS 2,2560 x 1600 (WQXGA),"Tần số quét 120Hz  16,7 triệu màu, gam màu DCI-P3",Có,,"1 x Cortex-A77 Dựa trên 2,84 GHz + 3 x Cortex-A77 Dựa trên 2,4 GHz + 4 x Dựa trên Cortex-A55 1,8 GHz",,
https://cellphones.com.vn/apple-ipad-air-m4-11-inch-128gb-wifi.html,iPad Air 11 inch M4 Wifi 128GB 2026 | Chính hãng,Apple,Liên hệ,apple-ipad-air-m4-11-inch-128gb-wifi,"Mua iPad Air 11 inch M4 Wifi 128GB 2026 chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay iPad Air 11 inch M4 Wifi 128GB 2026 tại đây.",11 inches,Liquid Retina,"12MP, f/1.8, Độ thu phóng kỹ thuật số lên đến 5xChụp ảnh toàn cảnh Panorama (lên đến 63MP)","12MP Center Stage, ƒ/2.0",Chip Apple M4,12 GB,128 GB,"Tích hợp pin sạc Li-Po 28,93 watt‑giờ",iPadOS 26,2360 x 1640  pixel,Màn hình Multi-Touch với công nghệ LED nền và IPSĐộ sáng 500 nit264 ppiDải màu rộng (P3)True ToneLớp phủ chống phản chiếuCông nghệ ép kín,,,8 lõi với 3 lõi hiệu năng và 5 lõi tiết kiệm điện,Hỗ trợ Apple Pencil ProHỗ trợ Apple Pencil (USB-C)Hỗ trợ Magic Keyboard cho iPad Air,
https://cellphones.com.vn/may-tinh-bang-xiaomi-pad-mini.html,Xiaomi Pad Mini 8GB 256GB,Xiaomi,Liên hệ,may-tinh-bang-xiaomi-pad-mini,"Máy tính bảng Xiaomi Pad Mini giá rẻ, chất lượng tốt. Bảo hành 12 tháng, đổi mới 30 ngày. Mua Xiaomi Pad Mini giao hàng tận nơi toàn quốc.",8.8 inches,LCD,"13MP 1/3,06&quot; 1,12μm kích thước điểm ảnhf/2,2 PDAF","8MP 1/4&quot; 1,12μm kích thước điểm ảnhf/2,28",MediaTek Dimensity 9400+,8 GB,256 GB,7500mAh,Xiaomi HyperOS 2,,"Tần số quét 165Hz, Cảm ứng 372Hz / 1080Hz tức thời, Cảm ứng bút 240Hz, TÜV Rheinland, Original Color Pro, Sunlight Mode, Adaptive Color, AI Image Processing, Công nghệ chạm khi ướt",,,1× Cortex-X925 3.73GHz + 3× Cortex-X4 3.3GHz + 4× Cortex-A720 2.4GHz,,
https://cellphones.com.vn/samsung-galaxy-tab-s9-fe.html,Samsung Galaxy Tab S9 FE 5G 6GB 128GB,Samsung,Liên hệ,samsung-galaxy-tab-s9-fe,"Mua máy tính bảng Samsung Galaxy Tab S9 FE (6/128GB) chính hãng - giảm ngay 1 triệu giá siêu rẻ 10/2023, tặng gói dịch vụ đặc quyền, trả góp 0%.",10.9 inches,TFT LCD,8 MP,12 MP,Exynos 1380,6 GB,128 GB,8.000mAh, Android 13 ,2304 x 1440 pixels,"Tần số quét 90Hz, DCI-P3, 16 triệu màu, Vision Booster, Hạn chế ánh sáng xanh",Không,Nano-SIM + eSIM,"8 nhân, 2.4GHz, 2GHz",S Pen (đi kèm trong hộp),
