url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Dung lượng RAM,Bộ nhớ trong,Pin,Thẻ SIM,Hệ điều hành,Tính năng màn hình,Loại CPU,Độ phân giải màn hình,Tương thích
https://cellphones.com.vn/dien-thoai-nubia-neo-5-gt.html,Nubia Neo 5 GT 8GB 256GB,Nubia,Liên hệ,dien-thoai-nubia-neo-5-gt,"Điện thoại gaming Nubia Neo 5 GT màn hình 144Hz, Dimensity 7400, quạt tản nhiệt, pin 6210mAh. Giảm 1.5tr, trả góp 0%, BH 18 tháng. Mua ngay!",6.8 inches,AMOLED,50MP AF + 2MP,16MP FF,MediaTek D7400,Có,8 GB,256 GB,6210mAh,2 Nano-SIM,MyOS 16 (dựa trên Android 16),Độ phân giải màn hình 1.5KĐộ sáng 4500 nits,Octa-core 2.6GHz,,
https://cellphones.com.vn/dien-thoai-itel-p55-plus-8gb-256gb.html,Điện thoại Itel P55 Plus NFC 8GB 256GB,Itel,Liên hệ,dien-thoai-itel-p55-plus-8gb-256gb,"Điện thoại Itel P55 Plus NFC 8GB 256GB giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",6.6 inches,,Camera góc rộng: 50 MP,8 MP,Unisoc T606,Có,8 GB,256 GB,5000mAh,,Android 13,Tần số quét 90Hz,Octa-core Processor,,
https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26.html,Samsung Galaxy S26 5G 12GB 256GB,Samsung,Liên hệ,dien-thoai-samsung-galaxy-s26,"Mua Samsung Galaxy S26 12GB 256GB chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay Samsung Galaxy S26 12GB 256GB tại đây.",6.3 inches,Dynamic AMOLED 2X,"Góc rộng 50MP, f/1.8Góc siêu rộng 12MP, f/2.2Tele 10MP, f/2.4","12 MP, f/2.2",Exynos 2600 (2nm),Có,12 GB,256 GB,4300 mAh,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Android,Độ sáng tối đa 2600 nits,10 nhân,2340 x 1080-pixel ,
https://cellphones.com.vn/dien-thoai-samsung-galaxy-a17-5g.html,Samsung Galaxy A17 5G 8GB 128GB,Samsung,Liên hệ,dien-thoai-samsung-galaxy-a17-5g,"Mua Samsung Galaxy A17 5G 8GB/128GB chính hãng, giá tốt - Giảm 50% khi mua kèm sạc 25W, trợ giá đến 1.5Tr, giảm thêm Smember, HSSV, Mua A17 5G tại đây",6.7 inches,Super AMOLED,"Chính 50 MPPhụ 5 MP, 2 MP",13 MP,Exynos 1330,Có,8 GB,128 GB,Li-Ion 5000 mAh,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),Android 15,Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7,8 nhân (2 nhân 2.4 GHz &amp; 6 nhân 2.0 GHz),1080 x 2340 pixels (FullHD+),
https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-flip-7.html,Samsung Galaxy Z Flip7 12GB 256GB,Samsung,Liên hệ,dien-thoai-samsung-galaxy-z-flip-7,"Samsung Galaxy Z Flip 7 giá tốt 06/2026, ưu đãi đến 11Tr890K, thu cũ trợ giá cao, tặng sim 5G, bảo hành 12 tháng - sẵn hàng giao nhanh.",6.9 inches,Dynamic AMOLED 2X,"50 MP, F1.8 + 12 MP, F2.2","10MP, F2.2",,Có,12 GB,256 GB,4300mAh,2 Nano-SIM,Android,Tần số quét: 120 HzĐộ phân giải màn hình chính: 2520 x 1080 (FHD+)Kích cỡ màn hình phụ: 4.1&quot;Độ phân giải màn hình phụ: 1048 x 948Công nghệ màn hình phụ: Super AMOLEDĐộ sâu màu sắc: 16M,"10 nhân, 3.3 GHz, 2.74GHz, 2.36GHz, 1.8GHz",,
https://cellphones.com.vn/dien-thoai-samsung-galaxy-a07.html,Samsung Galaxy A07 4GB 128GB,Samsung,Liên hệ,dien-thoai-samsung-galaxy-a07,"Mua điện thoại Samsung Galaxy A07 $GB 128GB giá tốt, trợ giá thu cũ, trả góp 0%, bảo hành chính hãng, giảm thêm Smember. Mua Galaxy A07 ngay.",6.7 inches,IPS LCD,Chính 50 MPPhụ 2 MP,8 MP,MediaTek Helio G99,Không,4 GB,128 GB,Li-Ion 5000 mAh,2 Nano-SIM,Android 15,Độ sáng tối đa 480 nitsKính cường lực Panda,8 nhân (2 nhân 2.2 GHz &amp; 6 nhân 2.0 GHz),720 x 1600 pixel,
https://cellphones.com.vn/dien-thoai-nubia-neo-5-5g.html,Nubia Neo 5 5G 8GB 128GB,Nubia,Liên hệ,dien-thoai-nubia-neo-5-5g,"Nubia Neo 5 chip Unisoc T9300, quạt tản nhiệt, nút trigger. Giảm 500k, góp 0%, thu cũ giảm 1.5tr, BH 18 tháng. Mua gaming phone giá rẻ tại đây!",6.8 inches,,50MP AF + 2MP,16MP FF,Unisoc T9300,Có,8 GB,128 GB,6050mAh,2 Nano-SIM,MyOS 16 (Dựa trên Android 16),Độ phân giải màn hình: 1940 × 900pixelsĐộ sáng 1000 nits,Octa-core 2.4GHz,,
https://cellphones.com.vn/dien-thoai-oppo-find-x9s.html,OPPO Find X9s 12GB 256GB,OPPO,Liên hệ,dien-thoai-oppo-find-x9s,"OPPO Find X9s 12GB/256GB giá 24.99tr, ưu đãi 13tr, góp 0%, thu cũ giảm 6tr, BH 24T. Chip Dimensity 9500s, 3 camera 50MP. Mua tại CellphoneS!",6.59 inches,AMOLED,"Góc siêu rộng 50 MP, f/2.0Góc rộng 50 MP, f/1.8Telephoto 50 MP, f/2.6","32 MP, f/2.4",MediaTek Dimensity 9500s,Có,12 GB,256 GB,7025 mAh,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,ColorOS 16.0,Độ sáng tối đa 1800 nitsTần số lấy mẫu cảm ứng tối đa 240Hz1.07 tỷ màu460 PPI100% DCI-P3,8 nhân,1256 x 2760 pixels,
https://cellphones.com.vn/iphone-air-256gb.html,iPhone Air 256GB | Chính hãng,Apple,Liên hệ,iphone-air-256gb,"Mua Điện thoại Apple iPhone Air 256GB giá tốt, Thiết kế siêu mỏng chỉ 5.64 mm với khung Titan cứng cáp - Mua iPhone Air 256gb chĩnh hãng T06/2026",6.5 inches,Super Retina XDR,48MP Fusion Main f/1.6,18MP Center Stage f/1.6,Chip A19 Pro,Có,,256 GB,Xem video: 27 giờXem video trực tuyến: 22 giờ,2 eSIM,iOS 26,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),2736 x 1260 pixels,
https://cellphones.com.vn/dien-thoai-xiaomi-17-ultra.html,Xiaomi 17 Ultra 5G 16GB 512GB,Xiaomi,Liên hệ,dien-thoai-xiaomi-17-ultra,"Xiaomi 17 Ultra 512GB dùng chip Snapdragon 8 Elite Gen 5, pin 6000mAh, sạc 90W, camera 200MP. Mua Xiaomi 17 Ultra giá rẻ tại CellphoneS.",6.9 inches,LTPO AMOLED,Camera chính: 200 MPGóc siêu rộng: 50 MP,50 MP,Qualcomm Snapdragon 8 Elite Gen 5,Có,16 GB,512 GB,6000 mAh,2 Nano-SIM,Android 16 với HyperOS,Độ phân giải màn hình: 2608 × 1200 pixelsĐộ sáng tối đa 3500 nits,8 nhân,,
